197, 129, 965, 1
202, 149, 1008, 0
203, 149, 929, 0
204, 149, 932, 0
206, 149, 927, 0
208, 144, 995, 0
209, 144, 812, 0
210, 144, 827, 0
211, 144, 820, 0
212, 144, 996, 0
213, 144, 810, 0
214, 144, 814, 0
215, 144, 813, 0
216, 145, 998, 1
217, 145, 997, 1
218, 145, 1001, 1
219, 145, 1000, 1
220, 145, 999, 1
221, 168, 1059, 1
222, 168, 1060, 1
223, 168, 1061, 1
224, 168, 1062, 1
226, 171, 1064, 1
227, 173, 1068, 1
228, 174, 1072, 1
229, 175, 1073, 1
230, 176, 1077, 1
231, 177, 1079, 1
232, 179, 1080, 1
233, 185, 1086, 1
234, 186, 1083, 1
236, 180, 1081, 1
238, 178, 1078, 1
239, 188, 1006, 1
240, 189, 976, 1
241, 190, 985, 1
242, 191, 993, 1
243, 192, 989, 1
244, 193, 1065, 1
245, 195, 1067, 1
246, 194, 1066, 1
247, 196, 840, 1
252, 202, 851, 1
254, 204, 1032, 1
256, 206, 1035, 1
257, 207, 975, 1
259, 209, 1039, 1
260, 210, 1042, 1
261, 211, 1041, 1
263, 213, 1047, 1
265, 215, 1050, 1
268, 218, 1053, 1
271, 221, 967, 1
272, 222, 1056, 1
273, 223, 1055, 1
274, 224, 979, 1
276, 226, 1063, 1
277, 227, 984, 0
278, 228, 1057, 0
279, 229, 1007, 0
282, 232, 845, 1
283, 233, 990, 1
285, 236, 969, 1
286, 237, 1013, 1
287, 238, 1014, 1
288, 239, 1015, 1
290, 241, 1017, 1
291, 242, 1018, 1
292, 243, 1058, 1
294, 245, 1024, 1
295, 246, 1023, 1
298, 249, 1025, 1
299, 250, 983, 1
304, 255, 1010, 1
306, 169, 1071, 1
307, 170, 1085, 1
308, 170, 1084, 1
309, 182, 1069, 0
310, 183, 1074, 1
311, 184, 1076, 1
316, 259, 924, 1
320, 220, 1009, 1
322, 220, 854, 1
742, 357, 907, 1
743, 358, 904, 1
744, 358, 905, 1
745, 358, 909, 1
746, 358, 1022, 1
747, 241, 1471, 1
748, 341, 1473, 0
749, 341, 1472, 0
751, 271, 1436, 0
752, 284, 1445, 0
753, 353, 1479, 0
754, 358, 1484, 0
756, 360, 1488, 1
757, 356, 1486, 1
760, 362, 1489, 1
761, 282, 1484, 0
762, 358, 1480, 0
763, 350, 1476, 0
764, 350, 1477, 0
765, 353, 1481, 0
766, 353, 1483, 0
767, 353, 1495, 0
768, 351, 1491, 0
770, 144, 1476, 0
771, 144, 1477, 0
772, 144, 1491, 0
774, 86, 1445, 0
775, 86, 1484, 0
776, 280, 1484, 0
777, 358, 1438, 0
780, 358, 1505, 0
782, 280, 1480, 0
783, 280, 1505, 0
784, 280, 1438, 0
786, 86, 1480, 0
787, 86, 1505, 0
788, 86, 1438, 0
790, 308, 1497, 0
791, 308, 1499, 0
792, 308, 1504, 0
793, 308, 1498, 0
794, 358, 1510, 0
795, 330, 1448, 0
796, 282, 1378, 0
797, 161, 1446, 0
798, 161, 1447, 0
799, 210, 1411, 0
800, 282, 1513, 0
801, 25, 1022, 0
802, 88, 1378, 0
803, 88, 1513, 0
804, 86, 1510, 0
808, 280, 1510, 0
809, 27, 1448, 0
810, 321, 1448, 0
811, 45, 1446, 0
812, 45, 1447, 0
813, 279, 1446, 0
814, 279, 1447, 0
815, 262, 1516, 0
816, 345, 1517, 0
817, 188, 1518, 0
818, 188, 1519, 0
819, 166, 1517, 0
820, 269, 1517, 0
821, 269, 1410, 0
822, 269, 1411, 0
825, 363, 1523, 1
826, 363, 1524, 0
827, 328, 1524, 0
828, 166, 1525, 0
829, 364, 1520, 1
830, 365, 1521, 1
831, 8, 1524, 0
832, 344, 1525, 0
833, 269, 1525, 0
845, 361, 1534, 0
846, 238, 1270, 1
847, 362, 1538, 0
848, 362, 1537, 0
849, 266, 1534, 1
851, 361, 1535, 0
853, 295, 1535, 0
855, 266, 1535, 0
857, 346, 1535, 0
